,USA_MOM,USA_QUAL,USA_VAL,USA_SMALL,EUR_MOM,EUR_QUAL,EUR_VAL,EUR_SMALL,CONS_DISC,CONS_STAP,ENERGY,HEALTH,INDUST,INFOTECH,MATERIALS
2006-12,917.72190486,827.72055827,684.5642005789621,299.1775779329368,1771.2940112379445,1104.4829575022382,1141.557441502305,236.63278153821344,302.9200134277344,268.4100036621094,455.5299987792969,388.739990234375,322.6300048828125,356.2799987792969,216.55999755859375
2007-01,951.4871784,837.99148895,700.4790204833722,303.5254041135718,1812.8980378694407,1117.8491553148033,1164.8990197519138,244.90048966527303,311.2900085449219,273.3500061035156,447.1099853515625,400.44000244140625,326.8399963378906,361.8599853515625,226.25
2007-02,922.79232723,814.13939295,686.7352162131485,301.4501845744301,1799.79122672114,1095.7538366832966,1154.033302897646,241.8318014553286,301.8299865722656,268.6300048828125,436.8299865722656,390.3800048828125,321.8800048828125,350.44000244140625,230.83999633789062
2007-03,942.77898732,821.70802332,698.6457047175944,304.899760574013,1881.5508797348589,1137.3008403927795,1185.7649560245077,251.3310939295571,299.92999267578125,272.67999267578125,463.3699951171875,391.1499938964844,324.510009765625,352.3399963378906,234.7100067138672
2007-04,977.36258946,863.29569514,727.761853079242,311.92256404947665,1922.1609400842472,1167.2971701386516,1239.133436838402,258.186701249991,307.4100036621094,281.3399963378906,487.5,418.8999938964844,339.79998779296875,371.3800048828125,239.22999572753906
2007-05,1011.65428157,891.26057829,750.6122732025526,324.860585953764,2017.184091074444,1200.7181616287453,1286.2334688800745,264.7383248715648,315.6199951171875,285.1499938964844,522.8099975585938,424.3900146484375,354.57000732421875,385.0299987792969,252.2899932861328
2007-06,982.63746424,878.43296833,731.8576041497415,319.43980633380727,2013.2595590716408,1225.4161867309926,1289.189990902195,259.1802595634989,310.2099914550781,278.44000244140625,529.7100219726562,409.010009765625,354.5,388.2099914550781,250.10000610351562
2007-07,949.83759953,863.80152954,699.5201789775872,295.6831876022217,1961.685359033815,1186.1236085170317,1235.1865113778322,253.7569595696976,292.1300048828125,271.79998779296875,533.4500122070312,390.9800109863281,358.0299987792969,386.44000244140625,244.3800048828125
2007-08,960.85169246,884.1929523,703.6588108062433,298.54714613352365,1936.4570170436,1179.443174798571,1227.798774105238,243.7492666610033,292.82000732421875,278.510009765625,536.3499755859375,399.8399963378906,357.3299865722656,397.0400085449219,242.47999572753906
2007-09,1027.77915689,912.15902255,716.734365340862,303.6510798651131,2013.5615798831093,1203.4909184992646,1242.3980877501358,232.49074560407348,289.95001220703125,290.1000061035156,579.469970703125,411.5799865722656,373.4800109863281,411.9700012207031,260.989990234375
2007-10,1072.53605608,927.03991637,721.0409600113281,309.94023599705986,2111.756842071964,1226.2006926859078,1270.8541591343303,245.2965263720221,289.9700012207031,294.9100036621094,585.4600219726562,419.2099914550781,371.3299865722656,441.3599853515625,271.4200134277344
2007-11,1035.74709108,897.13064704,690.9952246518463,289.4310518934409,2031.994070320404,1189.7858623366571,1177.0083884369494,221.15262794879723,273.0299987792969,303.3299865722656,562.1300048828125,422.80999755859375,357.4700012207031,405.6400146484375,257.5899963378906
